id,current_ma,dispositivo,err_code,power_mw,time_inserted,total_wh,voltage_mv
ca67317e-6cf9-42b5-8f25-3b9a15d306ac,309,,False,19697,2024-03-23 11:00:47.396+0000,45,114814
24f01f81-9c39-4971-b295-194c35a5b150,342,,False,38607,2024-04-10 03:38:20.600+0000,155,117163
5a7a848d-2b99-4d57-9abc-8d8f3a45ad59,250,,False,35206,2024-04-07 22:39:07.341+0000,38,119392
7bdcc6c3-34a1-463c-adf0-43c577e2767e,178,,False,18097,2024-04-07 22:23:46.945+0000,30,119469
b83a48f8-54e7-44cf-865f-e486d517266e,532,,False,39394,2024-04-10 04:18:54.268+0000,181,117851
944c1334-5e01-4c66-9bc9-90f84b1e34ca,224,,False,20414,2024-04-07 21:51:49.029+0000,11,120102
5c8403d3-ac02-49c9-be1e-4462c24cea68,265,,False,36071,2024-04-09 20:31:42.773+0000,122,116588
5d24fe90-4130-4d82-a767-8b905f377791,350,,False,40302,2024-04-09 20:41:57.137+0000,128,116233
261d4a71-3a7f-4f3f-b4ee-d3264d3e60d1,335,,False,35825,2024-04-10 03:39:10.628+0000,156,117018
d3e7e179-c7d4-48bf-9ea2-51bef94195c6,276,,False,26064,2024-04-09 20:15:07.203+0000,111,115850
01a9f271-e3a6-41a3-b21c-d6bb534117e1,448,,False,52964,2024-03-23 13:06:53.211+0000,116,116175
6c77d591-88bc-418b-9d96-ef92dbca4da4,373,,False,37628,2024-04-09 20:47:50.295+0000,132,116452
76ba2ab2-f11c-4784-9074-cd52a1b3c21f,458,,False,36150,2024-04-09 20:18:41.392+0000,113,115818
be8515a7-7125-44f5-9666-77c3c3913a80,432,,False,33158,2024-04-09 20:28:04.308+0000,119,115924
387100dd-5708-4689-854a-6dbfa1fd1d49,294,,False,25612,2024-04-07 23:07:41.890+0000,53,120052
a0f59f79-968e-427b-891f-22024a33d503,161,,False,37207,2024-04-10 03:39:58.365+0000,156,117212
2a908965-93cb-4fa0-9cb3-98fff6d92a8e,753,,False,130884,2024-04-08 08:25:34.622+0000,0,125976
a463df98-755a-4e1f-bf00-c02cf60b6b27,888,,False,102214,2024-04-08 08:26:58.751+0000,2,125936
38263c3d-056a-4b30-bb47-da8ef15d28f2,482,,False,67655,2024-04-10 04:01:10.114+0000,170,119378
e34ed659-9312-4f21-ae93-666ff691a46a,353,,False,30930,2024-04-09 20:32:51.499+0000,122,115815
32e93572-43b7-4e14-9b94-478d55b32009,248,,False,43236,2024-04-09 19:55:07.597+0000,101,116793
38c0a895-82d5-496f-9091-4688f0a00f86,562,,False,55073,2024-03-23 12:48:02.624+0000,100,115175
4613b1fb-a1b8-4311-9e74-820236d25d5c,307,,False,23382,2024-04-07 23:25:55.752+0000,63,120973
63cdb2ec-6a0c-4fcc-adec-9f91d9f35d56,305,,False,52923,2024-04-09 20:23:44.693+0000,117,115546
b7628aa7-573e-480a-875f-4f67753a502d,410,,False,45346,2024-03-23 13:30:56.396+0000,138,115013
4342eec8-33ae-41b5-aca6-dd96026ab070,468,,False,62183,2024-03-23 12:51:19.668+0000,103,115912
3a52f85a-39bf-42cd-b534-756cc4b8953a,337,,False,19931,2024-04-10 04:06:22.117+0000,173,119061
51f7d915-ab86-4d3b-86df-b47e7b5d7a1d,152,,False,20964,2024-04-07 22:30:27.101+0000,34,119416
f71d1eeb-023a-4734-a983-b29543928f03,311,,False,25725,2024-04-07 22:52:46.097+0000,45,118873
91bafb50-b5f5-4b59-83f4-f60a8aa5122b,363,,False,41463,2024-03-23 12:56:17.879+0000,108,115739
b59288f1-264b-4846-93ee-c2b152943e92,343,,False,34530,2024-04-09 20:19:24.181+0000,114,115700
be7f1dc4-d64e-46c6-8bc5-078137b582a9,356,,False,38689,2024-03-23 13:52:16.046+0000,155,113786
7adb3cb1-a4d7-46ad-aa85-3c01bb5ec0a2,468,,False,52553,2024-03-23 11:17:31.340+0000,53,114843
cc7b04a7-a30c-4810-9d76-0faf539b049a,223,,False,18399,2024-04-10 04:06:45.214+0000,173,118129
09723ce9-0db2-42c7-8343-3755119b996f,253,,False,30981,2024-04-07 22:49:10.254+0000,43,117939
8baf800b-8600-4051-82f8-e38d30732f71,385,,False,23767,2024-04-10 03:58:16.123+0000,169,118387
1c8114b9-2c51-44ec-b6d6-4f2e56dab5e7,823,,False,92710,2024-04-08 08:27:27.859+0000,3,125733
e8eb06f0-ba7a-4948-a2c0-6a53ed3aedbe,280,,False,25902,2024-04-07 22:49:03.922+0000,43,118322
f31af952-ef6b-4335-b573-d3ecfaeb25b0,339,,False,47497,2024-03-23 11:15:50.732+0000,52,114997
612875e2-5790-43dc-814f-2f272b3397e3,238,,False,24996,2024-03-05 17:05:58.324+0000,69,117443
6d6e3db5-093f-4ef8-8fe4-07b5fbef9f0d,357,,False,43305,2024-04-09 19:58:53.869+0000,103,116750
6e58e9b6-01aa-4c0d-8b44-fda41fe26645,249,,False,31543,2024-04-07 23:35:14.714+0000,68,121316
96127557-421e-4b7d-8fda-51fba126169d,400,,False,56690,2024-04-09 20:44:57.023+0000,130,116057
ef11ed4e-3019-43f1-a317-552ba0f14894,372,,False,43978,2024-03-23 14:01:10.995+0000,162,115613
8c847c81-9a19-4a53-a939-01f3f68f0d37,235,,False,46185,2024-04-10 03:54:24.361+0000,166,118049
3e009313-e48b-416d-936d-2850cec2fa54,335,,False,38685,2024-04-09 19:55:28.349+0000,101,116759
3bc57ae0-811c-4d96-a8cb-b71f690970d5,304,,False,47416,2024-04-09 20:21:56.368+0000,115,115515
859781cc-d44b-4884-94ee-b95e4d787961,218,,False,26309,2024-04-07 23:32:10.430+0000,66,121280
c860405f-1394-474a-a06a-81c41997d5dd,342,,False,16428,2024-04-10 04:12:47.091+0000,176,118092
eaac4e5c-f479-4b4d-917d-22ffaa0af2d0,304,,False,23915,2024-04-10 04:13:58.519+0000,177,118295
82d1cd1b-66d0-4271-8588-8ab99ecf0204,178,,False,18772,2024-04-09 19:54:51.156+0000,100,116930
18fe6ecb-6238-46e2-9e7b-eca5ce977430,471,,False,38461,2024-04-09 20:45:13.399+0000,130,116043
b661f039-b965-4df7-87dd-4f775015baf7,378,,False,36675,2024-04-10 04:00:55.699+0000,170,119467
ae888bae-1830-4b41-a8c7-670b7f7a681c,283,,False,21005,2024-04-07 23:24:05.594+0000,61,120605
dd9bf86e-0365-49bc-8ada-fd2a67badeee,183,,False,21340,2024-04-07 23:22:48.121+0000,61,120781
1e0b3753-36d7-4002-99ee-ad027584df31,273,,False,39225,2024-03-23 11:21:27.404+0000,56,115226
f4050cbd-fb93-48bb-bee8-2e0073a11f44,353,,False,39569,2024-03-23 13:54:52.983+0000,157,114342
70578848-ba62-43b4-b23e-39dbc74a8bd8,205,,False,35000,2024-04-09 20:40:23.002+0000,127,116627
cccca6b1-0b1a-4afd-b2c1-cf9136a9a870,276,,False,41496,2024-04-10 04:16:37.680+0000,179,118172
ae6d0f05-0e0a-44d6-990a-e2769e36c09d,311,,False,43539,2024-04-09 20:18:45.873+0000,113,115694
01547c0e-a921-42d1-b5c9-87e5021a15c9,380,,False,44714,2024-03-23 12:49:50.668+0000,102,115768
08b66a84-f39a-4ee4-9ed7-90c9b5d8ec2b,352,,False,33369,2024-04-09 20:24:16.317+0000,117,115423
